id,species,body_mass_kg,shoulder_hump_height_cm,claw_length_cm,snout_length_cm,forearm_circumference_cm,ear_length_cm
GRZ_01,Grizzly Bear,226.4,11.6,6.5,22.9,45.4,9.4
GRZ_02,Grizzly Bear,295.8,17.3,8.9,21.1,47.1,8.8
GRZ_03,Grizzly Bear,235.0,16.1,9.3,25.2,44.1,9.2
GRZ_04,Grizzly Bear,216.9,14.0,10.2,24.0,56.4,8.4
GRZ_05,Grizzly Bear,283.2,16.9,10.7,20.6,39.8,7.3
GRZ_06,Grizzly Bear,256.3,15.4,10.5,26.1,43.4,8.1
GRZ_07,Grizzly Bear,221.9,14.1,9.8,23.5,42.5,6.9
GRZ_08,Grizzly Bear,191.1,13.7,9.8,23.6,56.4,7.5
GRZ_09,Grizzly Bear,263.2,13.9,8.1,27.8,47.1,8.1
GRZ_10,Grizzly Bear,272.8,12.5,9.5,24.8,45.0,8.5
GRZ_11,Grizzly Bear,310.2,16.2,9.4,22.5,38.3,9.9
GRZ_12,Grizzly Bear,358.2,15.3,9.9,26.9,37.1,7.7
GRZ_13,Grizzly Bear,226.1,13.4,9.9,22.6,40.7,8.2
GRZ_14,Grizzly Bear,211.2,12.3,11.9,27.1,52.3,7.9
GRZ_15,Grizzly Bear,226.6,18.2,9.8,27.6,49.1,9.3
GRZ_16,Grizzly Bear,269.1,12.7,9.3,24.9,41.7,8.7
GRZ_17,Grizzly Bear,212.5,11.9,10.4,25.9,51.6,8.2
GRZ_18,Grizzly Bear,307.5,16.1,10.8,28.3,50.6,8.9
GRZ_19,Grizzly Bear,339.6,14.4,12.1,23.5,43.2,6.9
GRZ_20,Grizzly Bear,312.4,15.0,10.3,25.9,49.4,8.6
KDK_01,Kodiak Bear,431.3,20.3,11.5,28.9,57.6,10.3
KDK_02,Kodiak Bear,535.6,21.7,12.6,28.1,55.4,9.3
KDK_03,Kodiak Bear,510.4,15.7,9.8,28.0,59.9,9.3
KDK_04,Kodiak Bear,406.2,18.8,10.9,27.6,63.5,9.6
KDK_05,Kodiak Bear,415.3,17.7,11.4,29.0,63.1,10.5
KDK_06,Kodiak Bear,435.0,18.1,11.4,29.3,59.6,8.9
KDK_07,Kodiak Bear,499.5,18.5,10.6,29.5,64.2,8.6
KDK_08,Kodiak Bear,606.6,18.8,10.6,26.0,61.2,8.9
KDK_09,Kodiak Bear,505.4,18.2,12.6,31.0,57.8,9.4
KDK_10,Kodiak Bear,474.4,18.4,12.5,26.0,61.9,9.2
KDK_11,Kodiak Bear,490.5,15.9,8.9,27.6,54.8,8.8
KDK_12,Kodiak Bear,546.3,18.0,11.3,28.1,63.7,9.9
KDK_13,Kodiak Bear,367.3,14.9,10.8,28.7,57.7,10.8
KDK_14,Kodiak Bear,482.6,19.6,10.0,28.0,58.0,8.3
KDK_15,Kodiak Bear,473.7,15.4,10.1,24.3,63.9,9.6
